 Наименование; Изготовитель; Номер свидетельства и дата; Этикетка; Происхождение; Противопоказания; Срок годности; Год регистрации; Количество групп компонентов;Пищевые вещества Витамины, витаминоподобные вещества и коферменты;Пищевые вещества Макро- и микроэлементы;Пищевые вещества Жиры, жироподобные вещества и их производные;Пищевые вещества Белки, пептиды, аминокислоты,  нуклеиновые кислоты;Минорные компоненты растений Фенольные соединения;Минорные компоненты растений Алкалоиды;Пробиотики в монокультурах и ассоциациях  Пробиотические микроорганизмы;Пищевые вещества Углеводы и продукты их переработки;Минорные компоненты растений Сапонины;Минорные компоненты растений Терпеноиды;Минорные компоненты растений Естественные метаболиты и стимуляторы метаболизма;Минорные компоненты растений Гидроксикоричные кислоты;Минорные компоненты растений Ферменты;Минорные компоненты растений Дубильные вещества;"Минеральные и минерало-органические природные субстанции Цеолиты
Гуминовые кислоты";Система органов для беременных, кормящих и планирующих беременность;Система органов костно-мышечная сиситема;Система органов нервная система;Система органов иммунная система;Система органов пищеварительный тракт и обмен веществ;Система органов мочеполовая система;Система органов дерматологические БАД;Система органов органы чувств;Система органов сердечно-сосудистая система;Система органов противоопухолевые БАД;Система органов противопаразитарные БАД;Система органов дыхательная система;Система органов кровь и система кроветворения;Система органов противомикробные БАД; Форма выпуска; Продолжительность приема; Происхождение (природное/синтетическое); Сырье (растительное/животное/биологическое);Группа населения предназначен для детей;Группа населения возраст детей;Группа населения предназначен для взрослых;Группа населения пол;Группа населения пожилые
"биологически активная добавка к пище ""ВитаФин"" (""VitaFin"") (таблетки массой 700 мг)";"Ханкинтатукку Оу"" (""Hankintatukku Oy""), Lehtolankatu 18, 03600 Karkkila (Финляндия)";RU.77.99.11.003.Е.000894.09.10 от 10.09.2010;Рекомендации по применению: взрослым по 1-2 таблетки в день во время еды. Продолжительность приема - 1-2 месяца. При необходимости прием можно повторить. Противопоказания: индивидуальная непереносимость компонентов, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Лицам с заболеваниями щитовидной микроэлементыы рекомендуется проконсультироваться с врачом-эндокринологом. Срок годности - 3 года. Хранить в сухом, недоступном для детей месте, при температуре не выше 25°С.;иностранное;индивидуальная непереносимость компонентов, беременность, кормление грудью;3 года;2010;3;вит;элементы;;;фенольн;;;;;;;;;;;;;;иммунитет;;;;;;;;;;;таблетки;1-2 месяца;Природное (растительное);Экстракта зелёного чая (Camellia sinensis - Камелия китайская), экстракт кожицы винограда (Винный виноград - Vitis Vinifera;;;взрослые;;
"биологически активная добавка к пище ""Гепаплант"" (""Hepaplant"") (таблетки массой 1000 мг)";"Ханкинтатукку Оу"" (""Hankintatukku Oy""), Lehtolankatu 18, 03600 Karkkila (Финляндия)";RU.77.99.11.003.Е.000895.09.10 от 10.09.2010;Рекомендации по применению: взрослым по 1 таблетке 2-3 раза в день во время еды. Продолжительность приема - 1-2 месяца. При необходимости прием можно повторить. Противопоказания: индивидуальная непереносимость компонентов, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 3 года. Хранить в сухом, недоступном для детей месте, при температуре не выше 25°С.;иностранное;индивидуальная непереносимость компонентов, беременность, кормление грудью;3 года;2010;много;вит;;пнжк;;фенольн;;;;;;;гидроксикор;;;;;;;;;;;;;;;;;;таблетки;1-2 месяца;Природное (растительное);Экстракта зелёного чая (Camellia sinensis - Камелия китайская), экстракт кожицы винограда (Винный виноград - Vitis Vinifera;;;взрослые;;
"биологически активная добавка к пище ""Фемибион ® Наталкер I"" (""Femibion® Natalcare I"") (таблетки массой 609 мг±3% покрытые оболочкой)";"""Мерк КгаА энд Ко Верк Шпитталь"", Хёссельгассе 20, А- 9800 Шпитталь/Драу, Австрия или ""Никомед Фарма Сп. з.о.о."", Ал. Иерозолимские 146 А, 02-305, Варшава, Польша под контролем ""Мерк Зельбстмедикацион ГмбХ, Pёсслерштрассе, 96, 64293 Дармштадт (""Merck Selbstmedikation GmbH"", Rosslerstrasse 96, 64293 Darmstadt) (ФРГ) Германия";RU.77.99.11.003.Е.000886.09.10 от 10.09.2010 ;Рекомендации по применению: женщинам, планирующим беременность, и беременным до конца 12-й недели беременности по 1 таблетке 1 раз в день во время еды, запивая водой. Срок годности - 24 месяца. Хранить в сухом, недоступном для детей месте при температуре не выше 25°С. Противопоказания: индивидуальная непереносимость компонентов. Перед применением рекомендуется проконсультироваться с врачом.;иностранное;индивидуальная непереносимость компонентов;2 года;2010;2;вит;элементы;;;;;;;;;;;;;;беременные;;;;;;;;;;;;;;таблетки;9 месяцев;Синтетическое;;;;взрослые;женщины;
"биологически активная добавка к пище ""Неогален (Neogalen). СЛИМ КОД. Комплекс"" (капсулы массой 500 мг)";"продукция изготовлена ООО ""КоролёвФарм"", 121609, г. Москва, ул. Крылатские холмы, д.1, кв.422 (адрес производства: 141070, Московская область, г.Королёв, ул. Пионерская, д.4) (Российская Федерация)";RU.77.99.11.003.Е.001040.09.10 от 14.09.2010;Рекомендации по применению: взрослым по 1 капсуле 3 раза в день во время еды. Продолжительность приема - 1 месяц. Противопоказания: индивидуальная непереносимость компонентов, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 2 года. Хранить в сухом, защищенном от света и недоступном для детей месте, при температуре не выше 25°С.;отечественное;индивидуальная непереносимость компонентов, беременность, кормление грудью;2 года;2010;много;вит;;;аминокислоты;фенольн;;;;;;ест;;;;;;;;;жкт;;;;;;;;;;капсулы;1 месяц и менее;Природное (растительное);Экстракт травы гарцинии камбоджийской (Garcīnia gūmmi-gūtta - Гарци́ния камбоджи́йская), экстракт листьев матэ (Падуб парагва́йский - Ilex paraguariénsis), экстракт виноградных косточек, алоэ вера гель (Алоэ вера - Aloë vera);;;взрослые;;
"биологически активная добавка к пище ""КРЕСТИНОЛ"" (капсулы по 350 мг)";"ЗАО ""Пекталь"", 193019, г. Санкт-Петербург, ул. Бехтерева, д.1 (Российская Федерация)";RU.77.99.11.003.Е.001573.10.10 от 05.10.2010;Рекомендации по применению: взрослым по 1 капсуле 1 раз в день во время еды. Продолжительность приема - 20 дней. После 10 дневного перерыва рекомендуется повторный прием. Возможны повторные приемы в течение года. Срок годности - 2 года. Хранить в сухом, защищенном от света и недоступном для детей месте, при температуре не выше 25°С. Противопоказания: индивидуальная непереносимость компонентов, беременность, кормление грудью. Перед применением необходимо проконсультироваться с врачом.;отечественное;индивидуальная непереносимость компонентов, беременность, кормление грудью;2 года;2010;много;вит;;;;фенольн;;;;;;ест;;;дуб;;;;;;;почки;;;;;;;;;капсулы;1 месяц и менее;Природное (растительное);Экстракт брокколи (Капуста огородная - Brassica oleracea), экстракт сои (Соя культурная - Glycine max), экстракт листьев бадана (Бадан толстолистный - Bergenia crassifolia), экстракт корней дягиля лекарственного (Дягиль лекарственный - Angеlica archangelica) , экстракт корней цимицифуги (Клопогон кистевидный - Cimicifuga racemosa), экстракт травы боровой матки (Орти́лия однобо́кая - Orthília secúnda);;;взрослые;;
"биологически активная добавка к пище ""АДАПТОФИТ"" (капсулы по 380 мг)";"ООО ""НПФ ""БИОС"", 198099, г. Санкт-Петербург, ул. макроэлементынина, д. 13 (адрес производства: 188679, Ленинградская обл., Всеволожский район, пос. им. Морозова, на площадях Опытного завода ФГУП РНЦ ""Прикладная химия"", кор. 102, 102а, 209, 202/204) (Российская Федерация)";RU.77.99.11.003.Е.001575.10.10 от 05.10.2010;Рекомендации по применению: взрослым по 1 капсуле 1-2 раза в день во время еды. Продолжительность приема - 20 дней. После 10 дневного перерыва рекомендуется повторный прием. Возможны повторные приемы в течение года. Срок годности - 2 года. Хранить в сухом, защищенном от света и недоступном для детей месте, при температуре не выше 25°С. Противопоказания: индивидуальная непереносимость компонентов, беременность, кормление грудью, повышенная нервная возбудимость, повышенное артериальное давление, нарушение ритма сердечной деятельности, выраженный атеросклероз. Перед применением необходимо проконсультироваться с врачом.;отечественное;индивидуальная непереносимость компонентов, беременность, кормление грудью, повышенная нервная возбудимость, повышенное артериальное давление, нарушение ритма сердечной деятельности, выраженный атеросклероз;2 года;2010;много;вит;;;аминокислоты;фенольн;;;;сапонины;;;;;;;;;нервная;;;;;;;;;;;;капсулы;1 месяц и менее;Природное (растительное);Экстракт корня женьшеня (Женьшень обыкновенный - Panax ginseng), экстракт зелёного чая (Camellia sinensis - Чайный куст), корни родиолы розовой (Родиола розовая - Rhodiola rosea);;;взрослые;;
"биологически активная добавка к пище ""ОРВИТОН"" (капсулы по 330 мг)";"ООО ""НПФ ""БИОС"", 198099, г. Санкт-Петербург, ул. макроэлементынина, д. 13 (адрес производства: 188679, Ленинградская обл., Всеволожский район, пос. им. Морозова, на площадях Опытного завода ФГУП РНЦ ""Прикладная химия"", кор. 102, 102а, 209, 202/204) (Российская Федерация)";RU.77.99.11.003.Е.001654.10.10 от 07.10.2010;Рекомендации по применению: взрослым по 1 капсуле 1-2 раза в первой половине дня во время еды. Продолжительность приема - 20 дней. После 10 дневного перерыва рекомендуется повторный прием. Возможны повторные приемы в течение года. Срок годности - 2 года. Хранить в сухом, защищенном от света, недоступном для детей месте, при температуре не выше 25°С. Противопоказания: индивидуальная непереносимость компонентов, беременность, кормление грудью, прогрессирующие системные заболевания (туберкулез, лейкоз, рассеянный склероз, коллагеноз). Перед применением рекомендуется проконсультироваться с врачом.;отечественное;индивидуальная непереносимость компонентов, беременность, кормление грудью, прогрессирующие системные заболевания (туберкулез, лейкоз, рассеянный склероз, коллагеноз);2 года;2010;3;вит;;;;фенольн;;;;;;;гидроксикор;;;;;;;иммунитет;;;;;;;;;;;капсулы;1 месяц и менее;Природное (растительное);Экстракт коры ивы белой (Ива белая - Sálix álba), плоды шиповника коричного (Шиповник коричный - Rosa cinnamomea), экстракт листа малины обыкновенной (Малина обыкновенная - Rubus idaeus), экстракт цветков липы сердцелистной или мелколистной (Липа сердцевидная - Tilia cordata), листья мать-и-мачехи обыкновенной (Мать-и-мачеха - Tussilago farfara), экстракт ромашки аптечной или лекарственной (Ромашка аптечная - Chamomilla recutita, экстракт эхинацеи пурпурной (Эхина́цея пурпу́рная - Echinácea purpúrea) ;;;взрослые;;
"биологически активная добавка к пище ""Амритпраш"" (джем в банках по 500 г)";"продукция изготовлена ""М/с Радж Расаяна Хербал Пвт. Лтд"", 535, Удиог Вихар, Фаза-V, Гургаон-122016, Хараяна на заводе ""М/с Аюрсиддха Инк."", ВПО Раджакхаса, Тех Индора, Округ Кангра, Химачал Прадеш (Индия)";RU.77.99.11.003.Е.001659.10.10 от 08.10.2010;Рекомендации по применению: взрослым по 1 чайной ложке без верха (5 г) в день во время еды, запивая водой, зеленым чаем или молоком. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Срок годности - 12 месяцев. Хранить в сухом, недоступном для детей месте при температуре не выше 25°С. Вскрытую банку хранить в холодильнике. Противопоказания: индивидуальная непереносимость компонентов, беременность, кормление грудью, сахарный диабет. Перед применением рекомендуется проконсультироваться с врачом;иностранное;индивидуальная непереносимость компонентов, беременность, кормление грудью, сахарный диабет;1 год;2010;много;вит;;;;фенольн;;;;сапонины;;ест;;;дуб;;;;;;;почки;;;;;;;;;гели;1 месяц и менее;Природное (растительное);Мякоть плодов амлы (Индийский крыжовник - Phyllanthus emblica), мякоть плодов терминалии хебула (Терминалия хебула - Terminalia chebula), мед (Пчеловодство - Apis mellifera), коровье масло (Корова - Bos taurus), плоды перца длинного (Перец длинный - Piper longum), корни сыти круглой (Сыть круглая - Cyperus rotundus), корни куркумы длинной (Куркума длинная - Curcuma longa), семена кардамона настоящего (Кардамон настоящий - Elettaria cardamomum), кора сантала белого (Сантал белый - Santalum album), корни солодки голой (Солодка голая - Glycyrrhiza glabra), плоды эмблики смородиновой (Эмблика смородина - Phyllanthus emblica), кора корицы (Корица - Cinnamomum zeylanicum), центела азиатская (Центелла - Centella asiatica), десмодиум ганский (Десмодиум - Desmodium gangeticum), корни урарии расписной (Пришнипарма - Uraria picta), фасоль трехлопастная (Фасоль - Phaseolus trilobus), корни ветиверии цицаниевидной (Ветиверия - Vetiveria zizanioides), кора спаржи кистевидной (Спаржа - Asparagus racemosus), берхавия раскидная (Берхавия - Boerhaavia diffusa), корни сахарного тростника (Сахарный тростник - Saccharum officinarum), корни пуэрарии клубневидной (Пуэрария - Pueraria tuberoza), листья эгле мармеладного (Эгле - Aegle marmelos), корни ороксилума индийского (Ороксилум - Oxylum indicum), плоды гмелины древовидной (Гмелина - Gmelina arborea), цветки стереоспермума душистого (Стереоспермум - Stereospermum suaveolens), листья премны остроконечной (Премна - Premna obtusifolia), цветки шафрана (Шафран - Crocus sativus);;;взрослые;;
"биологически активная добавка к пище ""Термодрайн А.М."" (""Termodrine A.M."") (таблетки массой 1400 мг)";"""BioTech USA"", P.O. Box 9000, Ft. Lauderdale, Fl 33340 для ""BioTech Nutrition Inc."" (США)";RU.77.99.11.003.Е.001720.10.10 от 08.10.2010 ;Рекомендации по применению: взрослым по 1 таблетке 1 раз в день во время еды. Продолжительность приема - не более 1 месяца. При необходимости прием можно повторить через 1-2 недели. Срок годности - 4 года. Хранить в сухом, прохладном (при температуре 10-25°С), недоступном для детей месте, избегая прямых солнечных лучей. Противопоказания: индивидуальная непереносимость компонентов, беременность, кормление грудью, повышенная нервная возбудимость, нарушения сна, артериальная гипертензия, склероз сосудов. Перед применением рекомендуется проконсультироваться с врачом.;иностранное;индивидуальная непереносимость компонентов, беременность, кормление грудью, повышенная нервная возбудимость, нарушения сна, артериальная гипертензия, склероз сосудов;4 года;2010;много;;элементы;;аминокислоты;фенольн;алкалоид;;;;;ест;;;;;;;;;жкт;;;;;;;;;;таблетки;1 месяц и менее;Природное (растительное);Плоды гарцинии комбоджийской (Garcīnia gūmmi-gūtta - Гарци́ния камбоджи́йская), листья зеленого чая (Camellia sinensis - Камелия китайская), экстракт цитрусовых плодов (Померанец горький - Citrus aurantium) , семена гуараны (Гуарана - Paullinia cupana);;;взрослые;;
"биологически активная добавка к пище ""Фемибион ® Наталкер II"" (""Femibion® Natalcare II"") (таблетки массой 609 мг покрытые оболочкой, капсулы массой 789 мг)";"""Мерк КгаА энд Ко Верк Шпитталь"", Хёссельгассе 20, А- 9800 Шпитталь/Драу, Австрия или ""Никомед Фарма Сп. з.о.о."", Ал. Иерозолимские 146 А, 02-305 Варшава, Польша под контролем ""Мерк Зельбстмедикацион ГмбХ, Pёсслерштрассе, 96, 64293 Дармштадт (""Merck Selbstmedikation GmbH"", Rosslerstrasse 96, 64293 Darmstadt) (Гeрмания)";RU.77.99.11.003.Е.002136.10.10 от 25.10.2010 ;Рекомендации по применению: женщинам, начиная с 13-й недели беременности и до конца периода лактации по 1 таблетке и 1 мягкой капсуле в день во время еды. Срок годности - 2 года. Хранить в сухом, недоступном для детей месте при комнатной температуре не выше 25°С. Противопоказания: индивидуальная непереносимость компонентов. Перед применением рекомендуется проконсультироваться с врачом.;иностранное;индивидуальная непереносимость компонентов;2 года;2010;2;вит;элементы;;;;;;;;;;;;;;беременные;;;;;;;;;;;;;;таблетки, капсулы;9 месяцев;Природное (животное);Докозагексаеновая кислота из рыбьего жира (Рыбий жир - Оleum iecoris aselli);;;взрослые;женщины;
