наименование,изготовитель,номер_свидетельства_и_дата,этикетка,происхождение,противопоказания,срок_годности,год_регистрации,количество_групп_компонентов,пищевые_вещества_витамины_витаминоподобные_вещества_и_коферменты,пищевые_вещества_макро_и_микроэлементы,пищевые_вещества_жиры_жироподобные_вещества_и_их_производные,пищевые_вещества_белки_пептиды_аминокислоты_нуклеиновые_кислоты,минорные_компоненты_растений_фенольные_соединения,минорные_компоненты_растений_алкалоиды,пробиотики_в_монокультурах_и_ассоциациях_пробиотические_микроорганизмы,пищевые_вещества_углеводы_и_продукты_их_переработки,минорные_компоненты_растений_сапонины,минорные_компоненты_растений_терпеноиды,минорные_компоненты_растений_естественные_метаболиты_и_стимуляторы_метаболизма,минорные_компоненты_растений_гидроксикоричные_кислоты,минорные_компоненты_растений_ферменты,минорные_компоненты_растений_дубильные_вещества,минеральные_и_минерало_органические_природные_субстанции_цеолиты_и_гуминовые_кислоты,система_органов_для_беременных_кормящих_и_планирующих_беременность,система_органов_костно_мышечная_система,система_органов_нервная_система,система_органов_иммунная_система,система_органов_пищеварительный_тракт_и_обмен_веществ,система_органов_мочеполовая_система,система_органов_дерматологические_бад,система_органов_органы_чувств,система_органов_сердечно_сосудистая_система,система_органов_противоопухолевые_бад,система_органов_противопаразитарные_бад,система_органов_дыхательная_система,система_органов_кровь_и_система_кроветворения,система_органов_противомикробные_бад,форма_выпуска,продолжительность_приема,происхождение_природное_синтетическое,сырье,группа_населения_предназначен_для_детей,группа_населения_возраст_детей,группа_населения_предназначен_для_взрослых,группа_населения_пол,группа_населения_пожилые,рекомендации_по_применению,количество_единиц_на_прием,количество_приемов_в_день,суммарное_количество_единиц_за_период,ингредиент_описание,ингредиент_кир,ингредиент_лат,биологически_активные_вещества,системы_органов,группа_населения
"биологически активная добавка к пище ""ВитаФин"" (""VitaFin"") (таблетки массой 700 мг)","Ханкинтатукку Оу"" (""Hankintatukku Oy""), Lehtolankatu 18, 03600 Karkkila (Финляндия)",RU.77.99.11.003.Е.000894.09.10 от 10.09.2010,"При необходимости прием можно повторить. Противопоказания: индивидуальная непереносимость компонентов, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Лицам с заболеваниями щитовидной микроэлементыы рекомендуется проконсультироваться с врачом-эндокринологом. Срок годности - 3 года. Хранить в сухом, недоступном для детей месте, при температуре не выше 25°С.",0,"индивидуальная непереносимость компонентов, беременность, кормление грудью",36.0,2010,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,твердое,2,1,"Экстракта зелёного чая (Camellia sinensis - Камелия китайская), экстракт кожицы винограда (Винный виноград - Vitis Vinifera",0,,1,,0,Рекомендации по применению: взрослым по 1-2 таблетки в день во время еды,2,1,120,"экстракт зеленого чая, экстракт кожицы винограда","камелия китайская, винный виноград","camellia sinensis, vitis vinifera","вит, элементы, фенольн",иммунитет,взрослые
"биологически активная добавка к пище ""Гепаплант"" (""Hepaplant"") (таблетки массой 1000 мг)","Ханкинтатукку Оу"" (""Hankintatukku Oy""), Lehtolankatu 18, 03600 Karkkila (Финляндия)",RU.77.99.11.003.Е.000895.09.10 от 10.09.2010,"При необходимости прием можно повторить. Противопоказания: индивидуальная непереносимость компонентов, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 3 года. Хранить в сухом, недоступном для детей месте, при температуре не выше 25°С.",0,"индивидуальная непереносимость компонентов, беременность, кормление грудью",36.0,2010,4,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,твердое,2,1,"Экстракта зелёного чая (Camellia sinensis - Камелия китайская), экстракт кожицы винограда (Винный виноград - Vitis Vinifera",0,,1,,0,Рекомендации по применению: взрослым по 1 таблетке 2-3 раза в день во время еды,1,3,180,"экстракт зеленого чая, экстракт кожицы винограда","камелия китайская, винный виноград","camellia sinensis, vitis vinifera","вит, пнжк, фенольн, гидроксикор",,взрослые
"биологически активная добавка к пище ""Фемибион ® Наталкер I"" (""Femibion® Natalcare I"") (таблетки массой 609 мг±3% покрытые оболочкой)","""Мерк КгаА энд Ко Верк Шпитталь"", Хёссельгассе 20, А- 9800 Шпитталь/Драу, Австрия или ""Никомед Фарма Сп. з.о.о."", Ал. Иерозолимские 146 А, 02-305, Варшава, Польша под контролем ""Мерк Зельбстмедикацион ГмбХ, Pёсслерштрассе, 96, 64293 Дармштадт (""Merck Selbstmedikation GmbH"", Rosslerstrasse 96, 64293 Darmstadt) (ФРГ) Германия",RU.77.99.11.003.Е.000886.09.10 от 10.09.2010 ,"Хранить в сухом, недоступном для детей месте при температуре не выше 25°С. Противопоказания: индивидуальная непереносимость компонентов. Перед применением рекомендуется проконсультироваться с врачом.",0,индивидуальная непереносимость компонентов,24.0,2010,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,твердое,9,0,,0,,1,женщины,0,"Рекомендации по применению: женщинам, планирующим беременность, и беременным до конца 12-й недели беременности по 1 таблетке 1 раз в день во время еды, запивая водой.",1,1,270,,,,"вит, элементы",беременные,"взрослые, женщины"
"биологически активная добавка к пище ""Неогален (Neogalen). СЛИМ КОД. Комплекс"" (капсулы массой 500 мг)","продукция изготовлена ООО ""КоролёвФарм"", 121609, г. Москва, ул. Крылатские холмы, д.1, кв.422 (адрес производства: 141070, Московская область, г.Королёв, ул. Пионерская, д.4) (Российская Федерация)",RU.77.99.11.003.Е.001040.09.10 от 14.09.2010,"Противопоказания: индивидуальная непереносимость компонентов, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 2 года. Хранить в сухом, защищенном от света и недоступном для детей месте, при температуре не выше 25°С.",1,"индивидуальная непереносимость компонентов, беременность, кормление грудью",24.0,2010,4,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,твердое,1,1,"Экстракт травы гарцинии камбоджийской (Garcīnia gūmmi-gūtta - Гарци́ния камбоджи́йская), экстракт листьев матэ (Падуб парагва́йский - Ilex paraguariénsis), экстракт виноградных косточек, алоэ вера гель (Алоэ вера - Aloë vera)",0,,1,,0,Рекомендации по применению: взрослым по 1 капсуле 3 раза в день во время еды,1,3,90,"экстракт травы гарцинии камбоджийской, экстракт листьев матэ, экстракт виноградных косточек, гель алоэ вера"," гарци́ния камбоджи́йская, падуб парагва́йский, алоэ вера","garcīnia gūmmi-gūtta , ilex paraguariénsis, aloë vera","вит, аминокислоты, фенольн, ест",жкт,взрослые
"биологически активная добавка к пище ""КРЕСТИНОЛ"" (капсулы по 350 мг)","ЗАО ""Пекталь"", 193019, г. Санкт-Петербург, ул. Бехтерева, д.1 (Российская Федерация)",RU.77.99.11.003.Е.001573.10.10 от 05.10.2010,"После 10 дневного перерыва рекомендуется повторный прием. Возможны повторные приемы в течение года. Срок годности - 2 года. Хранить в сухом, защищенном от света и недоступном для детей месте, при температуре не выше 25°С. Противопоказания: индивидуальная непереносимость компонентов, беременность, кормление грудью. Перед применением необходимо проконсультироваться с врачом.",1,"индивидуальная непереносимость компонентов, беременность, кормление грудью",24.0,2010,4,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,твердое,1,1,"Экстракт брокколи (Капуста огородная - Brassica oleracea), экстракт сои (Соя культурная - Glycine max), экстракт листьев бадана (Бадан толстолистный - Bergenia crassifolia), экстракт корней дягиля лекарственного (Дягиль лекарственный - Angеlica archangelica) , экстракт корней цимицифуги (Клопогон кистевидный - Cimicifuga racemosa), экстракт травы боровой матки (Орти́лия однобо́кая - Orthília secúnda)",0,,1,,0,Рекомендации по применению: взрослым по 1 капсуле 1 раз в день во время еды,1,1,30,"экстракт брокколи, экстракт сои, экстракт листьев бадана, экстракт корней дягиля лекарственного, экстракт корней цимицифуги, экстракт травы боровой матки","капуста огородная, соя культурная, бадан толстолистный, дягиль лекарственный, клопогон кистевидный, орти́лия однобо́кая","brassica oleracea, glycine max, bergenia crassifolia, angеlica archangelica, cimicifuga racemosa, orthília secúnda","вит, фенольн, ест, дуб",почки,взрослые
"биологически активная добавка к пище ""АДАПТОФИТ"" (капсулы по 380 мг)","ООО ""НПФ ""БИОС"", 198099, г. Санкт-Петербург, ул. макроэлементынина, д. 13 (адрес производства: 188679, Ленинградская обл., Всеволожский район, пос. им. Морозова, на площадях Опытного завода ФГУП РНЦ ""Прикладная химия"", кор. 102, 102а, 209, 202/204) (Российская Федерация)",RU.77.99.11.003.Е.001575.10.10 от 05.10.2010,"После 10 дневного перерыва рекомендуется повторный прием. Возможны повторные приемы в течение года. Срок годности - 2 года. Хранить в сухом, защищенном от света и недоступном для детей месте, при температуре не выше 25°С. Противопоказания: индивидуальная непереносимость компонентов, беременность, кормление грудью, повышенная нервная возбудимость, повышенное артериальное давление, нарушение ритма сердечной деятельности, выраженный атеросклероз. Перед применением необходимо проконсультироваться с врачом.",1,"индивидуальная непереносимость компонентов, беременность, кормление грудью, повышенная нервная возбудимость, повышенное артериальное давление, нарушение ритма сердечной деятельности, выраженный атеросклероз",24.0,2010,4,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,твердое,1,1,"Экстракт корня женьшеня (Женьшень обыкновенный - Panax ginseng), экстракт зелёного чая (Camellia sinensis - Чайный куст), корни родиолы розовой (Родиола розовая - Rhodiola rosea)",0,,1,,0,Рекомендации по применению: взрослым по 1 капсуле 1-2 раза в день во время еды,1,2,60,"экстракт корня женьшеняэкстракт корня женьшеня, экстракт зеленого чая, корень родиолы розовойкорень родиолы розовой","женьшень обыкновенный, чайный куст, родиола розовая","panax ginseng, camellia sinensis, rhodiola rosea","вит, аминокислоты, фенольн, сапонины",нервная,взрослые
"биологически активная добавка к пище ""ОРВИТОН"" (капсулы по 330 мг)","ООО ""НПФ ""БИОС"", 198099, г. Санкт-Петербург, ул. макроэлементынина, д. 13 (адрес производства: 188679, Ленинградская обл., Всеволожский район, пос. им. Морозова, на площадях Опытного завода ФГУП РНЦ ""Прикладная химия"", кор. 102, 102а, 209, 202/204) (Российская Федерация)",RU.77.99.11.003.Е.001654.10.10 от 07.10.2010,"После 10 дневного перерыва рекомендуется повторный прием. Возможны повторные приемы в течение года. Срок годности - 2 года. Хранить в сухом, защищенном от света, недоступном для детей месте, при температуре не выше 25°С. Противопоказания: индивидуальная непереносимость компонентов, беременность, кормление грудью, прогрессирующие системные заболевания (туберкулез, лейкоз, рассеянный склероз, коллагеноз). Перед применением рекомендуется проконсультироваться с врачом.",1,"индивидуальная непереносимость компонентов, беременность, кормление грудью, прогрессирующие системные заболевания (туберкулез, лейкоз, рассеянный склероз, коллагеноз)",24.0,2010,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,твердое,1,1,"Экстракт коры ивы белой (Ива белая - Sálix álba), плоды шиповника коричного (Шиповник коричный - Rosa cinnamomea), экстракт листа малины обыкновенной (Малина обыкновенная - Rubus idaeus), экстракт цветков липы сердцелистной или мелколистной (Липа сердцевидная - Tilia cordata), листья мать-и-мачехи обыкновенной (Мать-и-мачеха - Tussilago farfara), экстракт ромашки аптечной или лекарственной (Ромашка аптечная - Chamomilla recutita, экстракт эхинацеи пурпурной (Эхина́цея пурпу́рная - Echinácea purpúrea) ",0,,1,,0,Рекомендации по применению: взрослым по 1 капсуле 1-2 раза в первой половине дня во время еды,1,2,60,"экстракт коры ивы белой, плоды шиповника коричного, экстракт листа малины, экстракт цветков липы сердцелистной или мелколистной, листья мать-и-мачехи обыкновенной, экстракт ромашки аптечной или лекарственной (ромашка аптечная - chamomilla recutita, экстракт эхинацеи пурпурнойэкстракт эхинацеи пурпурной","ива белая, шиповник коричный, малина обыкновенная, липа сердцевидная, мать, эхина́цея пурпу́рная","sálix álba, rosa cinnamomea, rubus idaeus, tilia cordata, и-мачеха - tussilago farfara, echinácea purpúrea","вит, фенольн, гидроксикор",иммунитет,взрослые
"биологически активная добавка к пище ""Амритпраш"" (джем в банках по 500 г)","продукция изготовлена ""М/с Радж Расаяна Хербал Пвт. Лтд"", 535, Удиог Вихар, Фаза-V, Гургаон-122016, Хараяна на заводе ""М/с Аюрсиддха Инк."", ВПО Раджакхаса, Тех Индора, Округ Кангра, Химачал Прадеш (Индия)",RU.77.99.11.003.Е.001659.10.10 от 08.10.2010,"При необходимости прием можно повторить. Срок годности - 12 месяцев. Хранить в сухом, недоступном для детей месте при температуре не выше 25°С. Вскрытую банку хранить в холодильнике. Противопоказания: индивидуальная непереносимость компонентов, беременность, кормление грудью, сахарный диабет. Перед применением рекомендуется проконсультироваться с врачом",0,"индивидуальная непереносимость компонентов, беременность, кормление грудью, сахарный диабет",12.0,2010,5,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,полутвердое,1,1,"Мякоть плодов амлы (Индийский крыжовник - Phyllanthus emblica), мякоть плодов терминалии хебула (Терминалия хебула - Terminalia chebula), мед (Пчеловодство - Apis mellifera), коровье масло (Корова - Bos taurus), плоды перца длинного (Перец длинный - Piper longum), корни сыти круглой (Сыть круглая - Cyperus rotundus), корни куркумы длинной (Куркума длинная - Curcuma longa), семена кардамона настоящего (Кардамон настоящий - Elettaria cardamomum), кора сантала белого (Сантал белый - Santalum album), корни солодки голой (Солодка голая - Glycyrrhiza glabra), плоды эмблики смородиновой (Эмблика смородина - Phyllanthus emblica), кора корицы (Корица - Cinnamomum zeylanicum), центела азиатская (Центелла - Centella asiatica), десмодиум ганский (Десмодиум - Desmodium gangeticum), корни урарии расписной (Пришнипарма - Uraria picta), фасоль трехлопастная (Фасоль - Phaseolus trilobus), корни ветиверии цицаниевидной (Ветиверия - Vetiveria zizanioides), кора спаржи кистевидной (Спаржа - Asparagus racemosus), берхавия раскидная (Берхавия - Boerhaavia diffusa), корни сахарного тростника (Сахарный тростник - Saccharum officinarum), корни пуэрарии клубневидной (Пуэрария - Pueraria tuberoza), листья эгле мармеладного (Эгле - Aegle marmelos), корни ороксилума индийского (Ороксилум - Oxylum indicum), плоды гмелины древовидной (Гмелина - Gmelina arborea), цветки стереоспермума душистого (Стереоспермум - Stereospermum suaveolens), листья премны остроконечной (Премна - Premna obtusifolia), цветки шафрана (Шафран - Crocus sativus)",0,,1,,0,"Рекомендации по применению: взрослым по 1 чайной ложке без верха (5 г) в день во время еды, запивая водой, зеленым чаем или молоком",1,1,30,"мякоть плодов амлы, мякоть плодов терминалии хебула, мед, коровье масло, плод перца длинного, корень сыти круглой, корень куркумы длинной, семена кардамона настоящего, кора сантала белого, корень солодки голой, плоды эмблики смородиновой, кора корицы, центела азиатская, десмодиум ганский, корни урарии расписной, фасоль трехлопастная, корни ветиверии цицаниевидной, кора спаржи кистевидной, берхавия раскидная, корни сахарного тростника, корни пуэрарии клубневидной, листья эгле мармеладного, корни ороксилума индийского, плоды гмелины древовидной, цветки стереоспермума душистого, листья премны остроконечной, цветки шафрана","индийский крыжовник, терминалия хебула, пчеловодство, корова, перец длинный, сыть круглая, куркума длинная, кардамон настоящий, сантал белый, солодка голая, эмблика смородина, корица, центелла, десмодиум, пришнипарма, фасоль, ветиверия, спаржа, берхавия, сахарный тростник, пуэрария, эгле, ороксилум, гмелина, стереоспермум, премна, шафран","phyllanthus emblica, terminalia chebula, apis mellifera, bos taurus, piper longum, cyperus rotundus, curcuma longa, elettaria cardamomum, santalum album, glycyrrhiza glabra, phyllanthus emblica, cinnamomum zeylanicum, centella asiatica, desmodium gangeticum, uraria picta, phaseolus trilobus, vetiveria zizanioides, asparagus racemosus, boerhaavia diffusa, saccharum officinarum, pueraria tuberoza, aegle marmelos, oxylum indicum, gmelina arborea, stereospermum suaveolens, premna obtusifolia, crocus sativus","вит, фенольн, сапонины, ест, дуб",почки,взрослые
"биологически активная добавка к пище ""Термодрайн А.М."" (""Termodrine A.M."") (таблетки массой 1400 мг)","""BioTech USA"", P.O. Box 9000, Ft. Lauderdale, Fl 33340 для ""BioTech Nutrition Inc."" (США)",RU.77.99.11.003.Е.001720.10.10 от 08.10.2010 ,"При необходимости прием можно повторить через 1-2 недели. Срок годности - 4 года. Хранить в сухом, прохладном (при температуре 10-25°С), недоступном для детей месте, избегая прямых солнечных лучей. Противопоказания: индивидуальная непереносимость компонентов, беременность, кормление грудью, повышенная нервная возбудимость, нарушения сна, артериальная гипертензия, склероз сосудов. Перед применением рекомендуется проконсультироваться с врачом.",0,"индивидуальная непереносимость компонентов, беременность, кормление грудью, повышенная нервная возбудимость, нарушения сна, артериальная гипертензия, склероз сосудов",48.0,2010,5,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,твердое,1,1,"Плоды гарцинии комбоджийской (Garcīnia gūmmi-gūtta - Гарци́ния камбоджи́йская), листья зеленого чая (Camellia sinensis - Камелия китайская), экстракт цитрусовых плодов (Померанец горький - Citrus aurantium) , семена гуараны (Гуарана - Paullinia cupana)",0,,1,,0,Рекомендации по применению: взрослым по 1 таблетке 1 раз в день во время еды,1,1,30,"плоды гарцинии комбоджийской, листья зеленого чая, экстракт цитрусовых плодов, семена гуараны"," гарци́ния камбоджи́йская, камелия китайская, померанец горький, гуарана","garcīnia gūmmi-gūtta , camellia sinensis, citrus aurantium, paullinia cupana","элементы, аминокислоты, фенольн, алкалоиды, ест",жкт,взрослые
"биологически активная добавка к пище ""Фемибион ® Наталкер II"" (""Femibion® Natalcare II"") (таблетки массой 609 мг покрытые оболочкой, капсулы массой 789 мг)","""Мерк КгаА энд Ко Верк Шпитталь"", Хёссельгассе 20, А- 9800 Шпитталь/Драу, Австрия или ""Никомед Фарма Сп. з.о.о."", Ал. Иерозолимские 146 А, 02-305 Варшава, Польша под контролем ""Мерк Зельбстмедикацион ГмбХ, Pёсслерштрассе, 96, 64293 Дармштадт (""Merck Selbstmedikation GmbH"", Rosslerstrasse 96, 64293 Darmstadt) (Гeрмания)",RU.77.99.11.003.Е.002136.10.10 от 25.10.2010 ,"Хранить в сухом, недоступном для детей месте при комнатной температуре не выше 25°С. Противопоказания: индивидуальная непереносимость компонентов. Перед применением рекомендуется проконсультироваться с врачом.",0,индивидуальная непереносимость компонентов,24.0,2010,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,твердое,9,1,Докозагексаеновая кислота из рыбьего жира (Рыбий жир - Оleum iecoris aselli),0,,1,женщины,0,"Рекомендации по применению: женщинам, начиная с 13-й недели беременности и до конца периода лактации по 1 таблетке и 1 мягкой капсуле в день во время еды.",1,1,270,докозагексаеновая кислота из рыбьего жира,рыбий жир,оleum iecoris aselli,"вит, элементы",беременные,"взрослые, женщины"
